mapping_id,labor_code,material_code,material_description,material_unit,calculation_type,multiplier,source,effective_date,expiration_date,active,supersedes_mapping_id,status,notes
MAP-000011,BM60(1)(1.25) TD,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000012,BM60(1)(2) TD,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000013,BM60(1)(4) TD,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000014,BM60(2)(1.25) TD,114-11-2,"2-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT."
MAP-000015,BM60(2)(2) TD,TBD-CONDUIT-2-2PULL,2-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000016,BM60(2)(4) TD,TBD-CONDUIT-4-2PULL,2-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000017,BM60(3)(1.25) TD,114-11-3-OGB-T,"3-PULL 1.25 in CONDUIT, ORANGE GREEN BLUE 7500FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT."
MAP-000018,BM60(3)(2) TD,TBD-CONDUIT-2-3PULL,3-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000019,BM60(3)(4) TD,TBD-CONDUIT-4-3PULL,3-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000020,BM60(1)(1.25) P,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000021,BM60(1)(2) P,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000022,BM60(1)(4) P,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000023,BM60(2)(1.25) P,114-11-2,"2-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT."
MAP-000024,BM60(2)(2) P,TBD-CONDUIT-2-2PULL,2-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 2-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000025,BM60(3)(1.25) P,114-11-3-OGB-T,"3-PULL 1.25 in CONDUIT, ORANGE GREEN BLUE 7500FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 3-pull SKU at 1 FT per production FT."
MAP-000026,BM60-(1.25)MB,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000027,BM60-(2)MB,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000028,BM60-(4)MB,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000029,BM60-(1.25)DP,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000030,BM60-(2)DP,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000031,BM60-(4)DP,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000032,BM60-(1.25)DPD Dual,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000033,BM60-(2) DPD Dual,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000034,BM60-(4) DPD Dual,TBD-CONDUIT-4-1PULL,1-PULL 4 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
MAP-000035,BM60(1.25)DP SDR Rail Road,114-11-O-8000,"1-PULL 1.25 in CONDUIT, ORANGE 8000FT",FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,APPROVED,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT."
MAP-000036,BM60(2)DP SDR Rail Road,TBD-CONDUIT-2-1PULL,1-PULL 2 in CONDUIT - part number pending,FT,PER_UNIT,1,BUSINESS_RULE,2026-01-01,,yes,,NEEDS REVIEW,"RULING 2026-09-16: (n) is the pull count, so production consumes the bundled 1-pull SKU at 1 FT per production FT. Multiplier confirmed; PART NUMBER still pending."
